label,x,y,z,w,h,l,roll,pitch,yaw
125,0.022823,0.133789,-0.337262,0.010000,0.008791,0.009561,-1.134880,0.078605,0.036560
125,-0.039183,0.051095,-0.162400,0.009707,0.010822,0.009826,-0.722679,-0.974934,-0.753730
125,-0.091026,0.075403,-0.212026,0.009550,0.011135,0.011145,-0.453333,-1.083507,-1.066919
125,0.062786,0.055819,-0.169881,0.025221,0.028116,0.025529,-2.150446,-0.659508,1.239833
125,0.030300,0.190490,-0.462248,0.021085,0.024584,0.024607,-0.991768,0.693142,0.395703
250,-0.056331,0.233263,-0.541272,0.034712,0.030514,0.033186,-0.237042,-0.123255,1.489050
250,-0.142526,0.056098,-0.156855,0.036355,0.031958,0.034757,3.022575,-0.444408,1.572105
125,0.361045,0.195957,-0.479611,0.018777,0.020933,0.019007,-0.166723,0.030217,1.487576
125,0.273116,0.170985,-0.423909,0.019832,0.017434,0.018961,0.473016,-0.350948,1.618083
250,0.059833,0.116331,-0.302515,0.024476,0.021516,0.023401,-1.284287,-0.360504,0.541126
250,0.061393,0.136767,-0.331802,0.035416,0.031133,0.033860,-1.516794,-0.433962,1.559788
